name,category,branch,city,postal_code,state,address,image,rating,reviews,distribution,range_min,range_max,est_low,est_mid,est_high,banner_text,website,phone,lat,lng,place_id,url,captured_at
MVZ MED ON Schmerz-Centrum Berlin,Arzt,Gesundheit,Berlin,10969,,"Puttkamerstraße 6, 10969 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEyeNtby5VdUbHQXBuZCQJshbMkgiuKMPqICUX3r6v2QNvToD5IRKyncI21m6OICSCuEQiP3VueHbrUCwNv_oDFYhOpvJS7OMquNr1Exey7AOpX0iyJ7prq9pdQyaHgMC9DoB7mRXnq48w=w408-h271-k-no,4.7,111,"{""oneStar"":3,""twoStar"":1,""threeStar"":3,""fourStar"":8,""fiveStar"":96}",51,100,2.97,3.43,3.88,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.dr-immler.de/,+49 30 212366966,52.5043258,13.3901593,0x47a851d39b61e88f:0x8391d642f2d6fb18,"https://www.google.com/maps/place/MVZ+MED+ON+Schmerz-Centrum+Berlin/@52.5043258,13.3901593,17z/data=!4m8!3m7!1s0x47a851d39b61e88f:0x8391d642f2d6fb18!8m2!3d52.5043258!4d13.3901593!9m1!1b1!16s%2Fg%2F1v27tjh_?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T12:04:18.249Z
Ristorante Trattoria Vesuvio,Italienisches Restaurant,Gastronomie & Hotel,Berlin,10243,,"Strausberger Pl. 8, 10243 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFKkxq_DU_NZJ_O6hrBcv5_9W3cwbsq1UlV32_NvU1c9pjRE6lqnbhDD1QMWrWwyFwNEAEP_LFA-cVECgunQAsni-xwTKssyHGKVJEtTko_6OlBm6-ESffwFmhL04TYXSoSmMs=w426-h240-k-no,4.7,1877,"{""oneStar"":11,""twoStar"":4,""threeStar"":70,""fourStar"":352,""fiveStar"":1440}",21,50,4.61,4.65,4.68,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.ristorante-vesuvio-berlin.de/,+49 30 42029589,52.5190864,13.429525,0x47a84e15fc75dc85:0xa1281f2c1aa479f7,"https://www.google.com/maps/place/Ristorante+Trattoria+Vesuvio/@52.5190864,13.429525,16z/data=!4m8!3m7!1s0x47a84e15fc75dc85:0xa1281f2c1aa479f7!8m2!3d52.5190864!4d13.429525!9m1!1b1!16s%2Fg%2F1hm30m5zf?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:59:16.837Z
Ristorante A MANO,Italienisches Restaurant,Gastronomie & Hotel,Berlin,10243,,"Strausberger Pl. 2, 10243 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_FqtfvJP_53bEufFtgZIYcEcxw12bdL-QlwMt3V82B4KqQ8GtF257YwRwGWFUETCBjbDgqHpzRq_OLDGmZC7ggtxXeVOwBuR2s3qDp1ZbCJZK3FEjLsG3EDpi1ZfnOfgFI0-7=w408-h272-k-no,4.8,4148,"{""oneStar"":1,""twoStar"":0,""threeStar"":128,""fourStar"":477,""fiveStar"":3542}",21,50,4.78,4.79,4.81,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,http://www.amano-ristorante.de/,+49 30 95598243,52.5193916,13.4273865,0x47a84e1623b079cb:0xa355fb53a80d566c,"https://www.google.com/maps/place/Ristorante+A+MANO/@52.5193916,13.4273865,16z/data=!3m1!5s0x47a84e16190635e1:0xf544a9ca593d1967!4m8!3m7!1s0x47a84e1623b079cb:0xa355fb53a80d566c!8m2!3d52.5193916!4d13.4273865!9m1!1b1!16s%2Fg%2F1hc0s4f1h?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:58:32.226Z
SuperFit Mitte,Fitnessraum,Fitness & Sport,Berlin,10179,,"Grunerstraße 20, 10179 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwVOjnaJRbRkk69xPf4X3okRnifi95frfC74MJqTu_GNvP9XCQuYdEqoBuDmNS2hghraQaxjlcE5YSbe73djDXJ-6qTylInRIRSP08FAyyeiTd7OoMohZmm8cSodKgAQQqaCGDYw=w408-h544-k-no,4.6,1548,"{""oneStar"":11,""twoStar"":5,""threeStar"":108,""fourStar"":272,""fiveStar"":1152}",21,50,4.53,4.58,4.61,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,http://superfit.club/,+49 30 688381768,52.5186653,13.4164869,0x47a84e2206913f7b:0x776957d52849630e,"https://www.google.com/maps/place/SuperFit+Mitte/@52.5186653,13.4164869,17z/data=!4m8!3m7!1s0x47a84e2206913f7b:0x776957d52849630e!8m2!3d52.5186653!4d13.4164869!9m1!1b1!16s%2Fg%2F11bw1pxw1w?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:57:29.091Z
McMakler GmbH - Immobilienmakler Berlin,Immobilienagentur,Immobilien,Berlin,10243,,"Am Postbahnhof 17, 10243 Berlin-Bezirk Friedrichshain-Kreuzberg, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6UUwRiOhoDKO9Gz64uQZCYWro5Y1Z5s3veM7KGL6FjSP9-K6DlGDMCt4MPixCU2fvp8_6q6GFyeks21P3fNz_4mruAsVTVFYbJ_koHCILKxsTnYnOm5sualW_rdVPzj7On3y7=w426-h240-k-no,4.5,477,"{""oneStar"":42,""twoStar"":9,""threeStar"":3,""fourStar"":30,""fiveStar"":393}",21,50,4.18,4.31,4.41,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.mcmakler.de/standorte/berlin?utm_source=local&utm_medium=link&utm_campaign=berlin,+49 30 555744974,52.508036,13.4381494,0x47a84e262f68d6df:0x94b5c3713ab6fcf2,"https://www.google.com/maps/place/McMakler+GmbH+-+Immobilienmakler+Berlin/@52.508036,13.4381494,17z/data=!4m8!3m7!1s0x47a84e262f68d6df:0x94b5c3713ab6fcf2!8m2!3d52.508036!4d13.4381494!9m1!1b1!16s%2Fg%2F11b861md1h?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T12:22:05.699Z
EVO Fitness Berlin Spittelmarkt,Fitnessstudio,Fitness & Sport,Berlin,10179,,"Wallstraße 27, 10179 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKkeJGSB0JcMIhcjfVw7IW7xuVzMPKE5nHj1Jl5A55A_OWFm5Gk00-M3QuSjYkgFXoaoc26ngkITFLqdtYK9knvE7ijDcLDeiXxaEVh17EZx78c7ff6x8eo96FC6Yjj6A-jCirt05Pmn5u=w408-h277-k-no,4.9,476,"{""oneStar"":6,""twoStar"":5,""threeStar"":10,""fourStar"":11,""fiveStar"":444}",21,50,4.49,4.62,4.73,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://evofitness.de/clubs/berlin-spittelmarkt,+49 173 2892579,52.5118082,13.4086774,0x47a84f44675bf925:0x4e4c9980c412e171,"https://www.google.com/maps/place/EVO+Fitness+Berlin+Spittelmarkt/@52.5118082,13.4086774,17z/data=!4m8!3m7!1s0x47a84f44675bf925:0x4e4c9980c412e171!8m2!3d52.5118082!4d13.4086774!9m1!1b1!16s%2Fg%2F11wqdr_8bj?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:55:59.646Z
Holmes Place Fitness - Potsdamer Platz,Fitnessstudio,Fitness & Sport,Berlin,10963,,"Gabriele-Tergit-Promenade 17 a-d, 10963 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHyDgYJCq4zXn5c6xhmNY28oHK4BmQmLWHnZXbJpUG_IhDFzKCcdkUoHFvhu-EvAplixcKxgYqkU_YZt5qrrIHw7Syox_vg2Brhx0q-TKL7UBgS7qB15Jv9csOc9l9hIA2AkmsH=w426-h240-k-no,4.7,2495,"{""oneStar"":71,""twoStar"":63,""threeStar"":77,""fourStar"":203,""fiveStar"":2081}",21,50,4.6,4.62,4.65,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.holmesplace.de/clubs/berlin-potsdamer-platz,+49 30 8140030,52.5056902,13.3754496,0x47a850323fffffff:0x5a6b460cc41c4c1c,"https://www.google.com/maps/place/Holmes+Place+Fitness+-+Potsdamer+Platz/@52.5056902,13.3754496,17z/data=!4m8!3m7!1s0x47a850323fffffff:0x5a6b460cc41c4c1c!8m2!3d52.5056902!4d13.3754496!9m1!1b1!16s%2Fg%2F1hc78lz4k?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:57:11.094Z
Zahnzentrum Mitte - Dein Zahnarzt in Berlin Mitte,Zahnarzt,Gesundheit,Berlin,10555,,"Alt-Moabit 82, 10555 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFoU1OyNOAoRaN1f7zuzan5G8cnx6Nm-dKVwDOSxX42qMD3ixAUjzTBvN5S_wkk6FQYABCs1H0xg3KKNtd9LtV0fpXvw3HOSAA_Oz65o1GLUONVli1s9FVW_8c7QSFM-4Bl-0o=w408-h612-k-no,4.9,234,"{""oneStar"":4,""twoStar"":2,""threeStar"":2,""fourStar"":1,""fiveStar"":225}",21,50,4.2,4.44,4.65,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://zahnzentrum-mitte.de/,+49 30 3913750,52.5246593,13.335865,0x47a8510c30f23b3b:0xdf4c64cc60178a9e,"https://www.google.com/maps/place/Zahnzentrum+Mitte+-+Dein+Zahnarzt+in+Berlin+Mitte/@52.5246593,13.335865,17z/data=!4m8!3m7!1s0x47a8510c30f23b3b:0xdf4c64cc60178a9e!8m2!3d52.5246593!4d13.335865!9m1!1b1!16s%2Fg%2F1tsr26tm?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T12:02:19.890Z
Torhaus - Ihre Zahnärzte in Berlin Mitte,Zahnarzt,Gesundheit,Berlin,10115,,"Robert-Koch-Platz 11, 10115 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFAQcImgm0cwLsF-k36-9GG2V0QZj--2VepyNi58TWmCflzZksk7-SXb6hHFm6EtEaUOUtseNlerdLbjwYb4V9KXNye3jTUWSuTKw7ArAPBXrcltBlrs2MRrhn8UJFJ_T9of4vUmNllheql=w408-h408-k-no,4.9,251,"{""oneStar"":5,""twoStar"":0,""threeStar"":2,""fourStar"":5,""fiveStar"":239}",21,50,4.24,4.47,4.66,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://www.zahnarzt-torhaus.de/,+49 30 959999400,52.5284086,13.3784512,0x47a85194c796e7fb:0x88f861aa25b00e77,"https://www.google.com/maps/place/Torhaus+-+Ihre+Zahn%C3%A4rzte+in+Berlin+Mitte/@52.5284086,13.3784512,17z/data=!4m8!3m7!1s0x47a85194c796e7fb:0x88f861aa25b00e77!8m2!3d52.5284086!4d13.3784512!9m1!1b1!16s%2Fg%2F113jfd1w9?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T12:01:27.662Z
Gansel Rechtsanwälte,Rechtsanwalt,Recht & Beratung,Berlin,10179,,"Wallstraße 59, 10179 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2mNG4gDAsbULcF352RCQeYpFfEin2FAnO0tWaN-kgqRMUFdocNMModDBSwMwDgYH_tK9mzbTPRPFWx-gDT_NktyVqdgXHs51mG1EwtZJbBdqrfK4g39pwXR0pOzNV9U8px6Ga=w408-h255-k-no,4.5,816,"{""oneStar"":80,""twoStar"":5,""threeStar"":11,""fourStar"":50,""fiveStar"":670}",21,50,4.3,4.38,4.44,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,http://gansel-rechtsanwaelte.de/,+49 30 2266740,52.5134525,13.4128143,0x47a851c36b0d65e9:0xd342fd391176a1ec,"https://www.google.com/maps/place/Gansel+Rechtsanw%C3%A4lte/@52.5134525,13.4128143,17z/data=!4m8!3m7!1s0x47a851c36b0d65e9:0xd342fd391176a1ec!8m2!3d52.5134525!4d13.4128143!9m1!1b1!16s%2Fg%2F1tfkvbl6?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T12:05:56.720Z
Restaurant Dae Mon,Restaurant mit Fusionsküche,Gastronomie & Hotel,Berlin,10178,,"Monbijoupl. 11, 10178 Berlin, Deutschland",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGS1R50FbrbJLXJTwALhBLGyCx_maJYrmidoR1C8H_-HZ7EenMQhxzMXlaG4tl77347PFBLbW92Q1IhTI_WeE_DXk9uNKE6PuWPqWi9IxtmFjKiZLXKv5NDWLDI-sjiUvzNHgAO=w408-h279-k-no,4.8,800,"{""oneStar"":4,""twoStar"":5,""threeStar"":8,""fourStar"":111,""fiveStar"":672}",21,50,4.58,4.66,4.73,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt,https://dae-mon.com/,+49 30 26304811,52.5227699,13.399358,0x47a851e74e032c31:0x25dc3e501793aacf,"https://www.google.com/maps/place/Restaurant+Dae+Mon/@52.5227699,13.399358,17z/data=!3m1!5s0x47a851e74e76ce79:0xf03c29631d430c26!4m8!3m7!1s0x47a851e74e032c31:0x25dc3e501793aacf!8m2!3d52.5227699!4d13.399358!9m1!1b1!16s%2Fg%2F11b6hwzkdv?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",2026-07-01T11:59:52.921Z
